a,b,c,L (mm),b (mm),h (mm)
0,0,0,37.75,3.17,12.68
16,0,1.864,37.75,3.17,12.68
223,0,2.495,37.75,3.17,12.68
431,-0.025,4.159,37.75,3.17,12.68
639,-0.025,6.356,37.75,3.17,12.68
846,-0.051,9.599,37.75,3.17,12.68
1054,-0.051,12.788,37.75,3.17,12.68
1261,-0.076,16.293,37.75,3.17,12.68
1469,-0.076,19.327,37.75,3.17,12.68
1676,-0.102,22.36,37.75,3.17,12.68
1884,-0.102,24.753,37.75,3.17,12.68
2091,-0.127,27.649,37.75,3.17,12.68
2299,-0.127,30.224,37.75,3.17,12.68
2506,-0.152,33.458,37.75,3.17,12.68
2714,-0.152,36.536,37.75,3.17,12.68
2921,-0.178,39.538,37.75,3.17,12.68
3129,-0.178,43.181,37.75,3.17,12.68
3336,-0.203,46.419,37.75,3.17,12.68
3544,-0.229,49.555,37.75,3.17,12.68
3751,-0.229,53.287,37.75,3.17,12.68
3959,-0.254,56.343,37.75,3.17,12.68
4166,-0.254,59.425,37.75,3.17,12.68
4374,-0.279,62.939,37.75,3.17,12.68
4581,-0.279,65.435,37.75,3.17,12.68
4789,-0.305,68.868,37.75,3.17,12.68
4996,-0.33,72.307,37.75,3.17,12.68
5204,-0.33,74.66,37.75,3.17,12.68
5411,-0.356,78.098,37.75,3.17,12.68
5619,-0.356,80.891,37.75,3.17,12.68
5826,-0.381,83.614,37.75,3.17,12.68
6034,-0.406,86.923,37.75,3.17,12.68
6241,-0.406,89.618,37.75,3.17,12.68
6449,-0.432,92.363,37.75,3.17,12.68
6656,-0.432,95.601,37.75,3.17,12.68
6864,-0.457,98.292,37.75,3.17,12.68
7071,-0.457,100.827,37.75,3.17,12.68
7279,-0.483,103.554,37.75,3.17,12.68
7486,-0.508,106.596,37.75,3.17,12.68
7694,-0.508,109.034,37.75,3.17,12.68
7901,-0.533,111.747,37.75,3.17,12.68
8109,-0.533,114.807,37.75,3.17,12.68
8316,-0.559,117.094,37.75,3.17,12.68
8524,-0.584,119.665,37.75,3.17,12.68
8731,-0.584,122.769,37.75,3.17,12.68
8939,-0.61,124.909,37.75,3.17,12.68
9146,-0.61,127.555,37.75,3.17,12.68
9354,-0.635,130.371,37.75,3.17,12.68
9561,-0.635,131.981,37.75,3.17,12.68
9768,-0.66,135.01,37.75,3.17,12.68
9976,-0.686,138.159,37.75,3.17,12.68
10183,-0.686,139.587,37.75,3.17,12.68
10391,-0.711,142.474,37.75,3.17,12.68
10598,-0.711,145.209,37.75,3.17,12.68
10806,-0.737,146.753,37.75,3.17,12.68
11014,-0.762,149.737,37.75,3.17,12.68
11222,-0.762,151.463,37.75,3.17,12.68
11429,-0.787,153.994,37.75,3.17,12.68
11637,-0.813,156.841,37.75,3.17,12.68
11844,-0.813,159.109,37.75,3.17,12.68
12052,-0.838,160.746,37.75,3.17,12.68
12259,-0.838,163.46,37.75,3.17,12.68
12467,-0.864,165.274,37.75,3.17,12.68
12674,-0.864,167.658,37.75,3.17,12.68
12882,-0.889,170.323,37.75,3.17,12.68
13089,-0.914,172.009,37.75,3.17,12.68
13297,-0.914,174.157,37.75,3.17,12.68
13504,-0.94,176.439,37.75,3.17,12.68
13712,-0.965,178.214,37.75,3.17,12.68
13919,-0.965,180.602,37.75,3.17,12.68
14127,-0.991,182.702,37.75,3.17,12.68
14334,-0.991,184.583,37.75,3.17,12.68
14542,-1.016,186.58,37.75,3.17,12.68
14749,-1.041,188.649,37.75,3.17,12.68
14957,-1.041,190.521,37.75,3.17,12.68
15164,-1.067,192.074,37.75,3.17,12.68
15372,-1.067,194.64,37.75,3.17,12.68
15579,-1.092,196.522,37.75,3.17,12.68
15787,-1.118,197.909,37.75,3.17,12.68
15994,-1.118,200.467,37.75,3.17,12.68
16202,-1.143,202.148,37.75,3.17,12.68
16409,-1.143,203.718,37.75,3.17,12.68
